Date,Open,High,Low,Close,Adj Close,Volume
2023-08-25,15.090000,18.320000,15.000000,17.790001,17.790001,85735900
2023-08-28,18.100000,18.129999,17.070000,17.950001,17.950001,29435800
2023-08-29,17.950001,19.440001,17.885000,19.150000,19.150000,26439600
2023-08-30,19.049999,20.129999,18.770000,20.030001,20.030001,22398500
2023-08-31,20.110001,21.120001,19.881001,20.809999,20.809999,19815400
2023-09-01,20.975000,22.040001,20.709999,21.860001,21.860001,18943400
2023-09-05,21.770000,22.490000,21.610001,21.930000,21.930000,12892900
2023-09-06,21.709999,22.450001,21.474001,22.100000,22.100000,12989500
2023-09-07,21.559999,22.677999,20.840000,22.480000,22.480000,14985800
2023-09-08,22.400000,22.549999,21.469999,22.469999,22.469999,11802300
2023-09-11,23.090000,23.875000,22.660000,23.570000,23.570000,13454000
2023-09-12,23.389999,24.350000,23.120001,23.870001,23.870001,13024300
2023-09-13,23.950001,24.219999,23.271000,23.350000,23.350000,9888800
2023-09-14,23.760000,24.150000,23.485001,23.620001,23.620001,9611600
2023-09-15,23.525000,24.485001,23.438000,24.370001,24.370001,11545400
2023-09-18,24.295000,25.629999,23.900000,25.010000,25.010000,14582700
2023-09-19,25.080000,25.129999,23.110001,23.750000,23.750000,15692900
2023-09-20,24.070000,24.549999,23.070000,23.100000,23.100000,11017700
2023-09-21,22.055000,22.160000,21.049999,21.250000,21.250000,20389200
2023-09-22,21.375000,21.629999,20.020000,20.180000,20.180000,15009500
2023-09-25,20.000000,20.490000,19.010000,20.219999,20.219999,17756400
2023-09-26,19.770000,20.584999,19.719999,19.910000,19.910000,9357600
2023-09-27,20.139999,20.570000,19.577999,20.260000,20.260000,10232100
2023-09-28,20.209999,21.070000,20.035000,20.850000,20.850000,9477900
2023-09-29,21.280001,22.525000,21.190001,21.270000,21.270000,17599100
2023-10-02,21.180000,21.450001,20.250000,20.450001,20.450001,9694900
2023-10-03,20.000000,20.180000,17.940001,18.280001,18.280001,18377800
2023-10-04,18.549999,18.930000,17.480000,17.900000,17.900000,13247600
2023-10-05,17.620001,17.815001,16.990000,17.510000,17.510000,10890300
2023-10-06,16.850000,18.270000,16.690001,17.940001,17.940001,13385700
2023-10-09,17.520000,18.920000,17.450001,18.790001,18.790001,10760300
2023-10-10,18.950001,20.260000,18.650000,19.700001,19.700001,12294000
2023-10-11,19.780001,20.580000,19.360001,20.129999,20.129999,11973200
2023-10-12,20.200001,20.350000,18.570000,18.600000,18.600000,12163700
2023-10-13,18.670000,18.790001,17.730000,18.000000,18.000000,10978800
2023-10-16,18.260000,19.030001,17.870001,18.879999,18.879999,10493200
2023-10-17,18.590000,20.077000,18.440001,19.969999,19.969999,12655300
2023-10-18,19.700001,20.420000,18.511000,18.799999,18.799999,14285700
2023-10-19,18.709999,19.207001,18.240000,18.290001,18.290001,9560600
2023-10-20,18.059999,18.510000,17.660000,18.250000,18.250000,8660500
2023-10-23,17.900000,19.004999,17.180000,18.500000,18.500000,9412500
2023-10-24,18.820000,19.980000,18.820000,19.559999,19.559999,10978600
2023-10-25,17.950001,17.969999,15.973000,16.639999,16.639999,25448400
2023-10-26,16.820000,17.740000,16.379999,17.420000,17.420000,15506800
2023-10-27,17.639999,17.780001,16.799999,16.930000,16.930000,12059400
2023-10-30,17.355000,17.740000,16.500000,17.100000,17.100000,9911200
2023-10-31,17.400000,17.860001,16.875000,17.610001,17.610001,9675700
2023-11-01,17.700001,17.860001,16.850000,17.610001,17.610001,9481500
2023-11-02,19.610001,21.100000,19.570000,21.040001,21.040001,25182700
2023-11-03,21.780001,23.139999,21.757999,22.430000,22.430000,19359900
2023-11-06,22.420000,22.590000,21.190001,21.709999,21.709999,11478800
2023-11-07,21.709999,22.379999,21.059999,22.090000,22.090000,10337300
2023-11-08,21.510000,22.190001,20.200001,21.760000,21.760000,21472500
2023-11-09,24.969999,27.157000,24.430000,24.860001,24.860001,47263500
2023-11-10,24.700001,24.750000,21.870001,22.430000,22.430000,27831500
2023-11-13,22.250000,23.198000,21.879999,22.879999,22.879999,10313600
2023-11-14,24.860001,26.200001,24.590000,25.559999,25.559999,22925200
2023-11-15,25.340000,27.000000,25.150000,25.980000,25.980000,19694600
2023-11-16,25.459999,25.580000,24.270000,24.540001,24.540001,14409300
2023-11-17,24.834999,25.219999,24.400000,24.790001,24.790001,11289700
2023-11-20,24.799999,25.950001,24.040001,25.459999,25.459999,10962800
2023-11-21,25.030001,25.280001,24.180000,25.030001,25.030001,8310000
2023-11-22,25.500000,26.068001,25.094999,25.570000,25.570000,9655500
2023-11-24,25.540001,26.549999,25.020000,26.230000,26.230000,6819200
2023-11-27,27.080000,30.350000,27.049999,29.370001,29.370001,45419500
2023-11-28,29.870001,33.049999,28.830000,32.750000,32.750000,44306000
2023-11-29,32.660000,34.959999,32.599998,34.119999,34.119999,34864700
2023-11-30,33.820000,34.888000,32.805000,34.410000,34.410000,21455100
2023-12-01,34.200001,37.945000,33.820000,37.669998,37.669998,33193400
